anime,centrality
Zero no Tsukaima,0.49385131358300727
Zero no Tsukaima: Futatsuki no Kishi,0.49385131358300727
Zero no Tsukaima: Princesses no Rondo,0.49385131358300727
Zero no Tsukaima: Princesses no Rondo Picture Drama,0.49385131358300727
Zero no Tsukaima F,0.49385131358300727
Kurenai no Buta,0.47792062604807156
Groove Adventure Rave,0.4740078256008944
One Piece Film: Red,0.4385131358300727
Mahou Sensei Negima!,0.4362772498602571
Ichiban Ushiro no Daimaou,0.4362772498602571
